编号,关联标题编号,评论内容,平台
129,129,不愧是先进经验，学不来,示例微博
130,52,比去年好太多了,示例微博
131,90,建议先做小范围试点,云岭客户端
132,241,未必不是好事,江川论坛
133,241,不能说没有道理,示例微博
134,97,好事，希望能推广到其他区,示例微博
135,205,这波操作值得写进教科书,视频号评论区
136,66,支持，早该这么做,示例微博
137,233,有一说一,江川论坛
138,273,并非不能理解,江川论坛
139,274,含泪点赞,江川论坛
140,237,厉害，这也能算完成任务,云岭客户端
141,4,希望别又是一场运动式整治,视频号评论区
142,1,无语了,江川论坛
143,296,看得出来是真下了功夫,云岭客户端
144,88,真行，一个都没落下,视频号评论区
145,182,不太好判断，先记下来,视频号评论区
146,164,体验过一次，流程很顺,示例微博
147,285,后续如何评估？,示例微博
148,136,不能说完全没效果,江川论坛
149,166,为什么反响这么大还是没动静,视频号评论区
150,33,老人用起来也不难，考虑得周到,视频号评论区
151,65,感觉越来越贴心了,视频号评论区
152,240,行吧，反正说了也白说,江川论坛
153,121,这次办得实在，给个赞,视频号评论区
154,143,真是及时雨，来得刚刚好,江川论坛
155,203,每次都是这样，反映了也没人管,视频号评论区
156,5,能不能明确一下责任部门,云岭客户端
157,1,给个好评,视频号评论区
158,240,细节做得到位,云岭客户端
159,118,能不能开个线上通道,江川论坛
160,243,属实有点东西,示例微博
161,228,预算花了不少，效果没看见,云岭客户端
162,148,形式大于内容,示例微博
163,155,设施建好了，维护跟不上,江川论坛
164,26,预算从哪里来？,云岭客户端
165,293,没有理由不重视,视频号评论区
166,54,这效率，真是让人佩服,视频号评论区
167,93,多少有点感人,云岭客户端
168,233,这答复真是滴水不漏，就是没答案,示例微博
169,95,蹲个后续,云岭客户端
170,169,不能说没有人关心,视频号评论区
171,10,这种速度，真让人着急,示例微博
172,214,赞一个，希望别再改回去,云岭客户端
173,272,终于有人管这个事了,云岭客户端
174,148,佩服得五体投地,视频号评论区
175,173,家门口的变化看得见,江川论坛
176,93,谁定的规则，能不能问问我们,江川论坛
177,117,建议听取一线人员的意见,江川论坛
178,172,又是喊口号，先看看能不能落地,视频号评论区
179,240,通告写得漂亮，执行呢,示例微博
180,56,能不能给个明确答复,云岭客户端
181,72,名单什么时候公布,示例微博
182,291,又是老一套,江川论坛
183,190,确实方便了不少,江川论坛
184,27,满意，比预期好,云岭客户端
185,69,了不起了不起,视频号评论区
186,179,工作人员态度很好，点个赞,云岭客户端
187,197,点赞，希望全市都跟上,视频号评论区
188,124,变化很大，路过都注意到了,示例微博
189,18,路过看了一眼，人还挺多,江川论坛
190,147,希望明年还能继续,示例微博
191,248,笑死，认真的吗,江川论坛
192,171,emmm,示例微博
193,47,结果得看到年底才知道,江川论坛
194,37,不能说没道理，就是慢,示例微博
195,159,爱了爱了,视频号评论区
196,33,消息是今天上午发布的,视频号评论区
197,255,支持！！,云岭客户端
198,5,这个思路不错，值得学,云岭客户端
199,99,看着挺好，实际用起来问题一堆,云岭客户端
200,121,谈不上不满意,示例微博
