编号,标题,类别,判定依据,标注人,是否边界情况,备注
125,江川市非遗展演走进60个社区,,,,,
126,石桥镇空气质量优良天数比例达120%,,,,,
127,石桥镇图书馆新馆开放，日均接待读者18人次,,,,,
128,云岭市前三季度规上工业增加值同比增长3%,,,,,
129,南屏市新增26处老旧小区改造，覆盖86个社区,,,,,
130,东河县上半年社会消费品零售总额达120亿元,,,,,
131,白汀区文物保护单位完成60处修缮,,,,,
132,石桥镇特色农产品产量达32万吨，产值5亿元,,,,,
133,江川市新增15处城市书房，全部免费开放,,,,,
134,云岭市新建7公里城市绿道，串联9个公园,,,,,
135,周国强：装备制造要从拼价格转向拼技术,,,,,
136,白汀区启用9个社区服务站，居民办事平均少跑20公里,,,,,
137,云岭市新建3公里城市绿道，串联7个公园,,,,,
138,东河县开通民生热线，首月受理物业费收缴争议类诉求60件,,,,,
139,江川市原创剧目首演，26名观众到场,,,,,
140,白汀区开展物业费收缴争议专项整治，已处理3件,,,,,
141,白汀区机场旅客吞吐量重回20万人次,,,,,
142,图书馆夜间延时，读者说「终于不用赶时间」,,,,,
143,南屏市跨江大桥主塔封顶，预计1月通车,,,,,
144,白汀区新增32家专精特新企业，集中在新能源领域,,,,,
145,东河县文物保护单位完成18处修缮,,,,,
146,云岭市特色农产品产量达32万吨，产值240亿元,,,,,
147,东河县公布45项民生实事清单，菜市场升级排在第一项,,,,,
148,白汀区15所学校完成智慧教室改造,,,,,
149,云岭市中小微企业贷款余额增长7%,,,,,
150,东河县青少年足球联赛开赛，共5支球队,,,,,
151,云岭市职教中心与32家企业共建实训基地,,,,,
152,东河县举办产销对接会，现场签约12个项目,,,,,
153,白汀区轨道新线开通首日客流达3万人次,,,,,
154,江川市轨道新线开通首日客流达15万人次,,,,,
155,南屏市新增32家专精特新企业，集中在电子信息领域,,,,,
156,石桥镇公布32项民生实事清单，菜市场升级排在第一项,,,,,
157,南屏市中小学生体质健康优良率提升240个百分点,,,,,
158,云岭市新建120公里城市绿道，串联15个公园,,,,,
159,石桥镇完成20亩退耕还林，森林覆盖率提升20个百分点,,,,,
160,东河县跨境电商出口额突破15亿元,,,,,
161,江川市农业农村局回应「小区停车难」：8月底前完成整改,,,,,
162,云岭市查处环境违法案件45起,,,,,
163,白汀区新增污水处理能力26万吨/日,,,,,
164,云岭市跨境电商出口额突破9亿元,,,,,
165,黄文博：科学教育不能只停留在做实验,,,,,
166,南屏市职教中心与15家企业共建实训基地,,,,,
167,白汀区举办产销对接会，现场签约7个项目,,,,,
168,白汀区建设高标准农田3亩，亩均增产60%,,,,,
169,云岭市整治停车难，划设非机动车停放区240处,,,,,
170,江川市建设高标准农田3亩，亩均增产120%,,,,,
171,石桥镇新增12家专精特新企业，集中在电子信息领域,,,,,
172,江川市开展校外培训专项检查，通报9起,,,,,
173,云岭市文旅产业园开园，首批9家企业入驻,,,,,
174,石桥镇整治上下学拥堵，划设非机动车停放区20处,,,,,
175,南屏市农产品区域公用品牌正式发布,,,,,
176,东河县新增停车泊位12个，缓解停车难问题,,,,,
177,江川市新增60处城市书房，全部免费开放,,,,,
178,白汀区空气质量优良天数比例达12%,,,,,
179,南屏市中小学生体质健康优良率提升20个百分点,,,,,
180,黄晓峰代表建议：把菜市场升级纳入明年财政预算,,,,,
181,东河县前三季度规上工业增加值同比增长20%,,,,,
182,李秀兰：新材料要从拼价格转向拼技术,,,,,
183,云岭市新建18公里城市绿道，串联15个公园,,,,,
184,白汀区7所学校完成智慧教室改造,,,,,
185,白汀区举办产销对接会，现场签约5个项目,,,,,
186,云岭市跨境电商出口额突破3亿元,,,,,
187,南屏市中小学课后服务覆盖率超过60%,,,,,
188,云岭市完成18亩退耕还林，森林覆盖率提升240个百分点,,,,,
189,白汀区高校科研成果转化金额达15万元,,,,,
190,南屏市中小学生体质健康优良率提升60个百分点,,,,,
191,白汀区举办产销对接会，现场签约26个项目,,,,,
192,江川市中小微企业贷款余额增长9%,,,,,
193,云岭市推出教师减负清单，压减7项非教学任务,,,,,
194,东河县建设高标准农田20亩，亩均增产7%,,,,,
195,云岭市开通民生热线，首月受理共享单车乱停放类诉求20件,,,,,
196,南屏市试点「一窗通办」，18项业务不用再跑第二趟,,,,,
197,白汀区城管局回应「楼道堆物」：11月底前完成整改,,,,,
198,周慧敏：电子信息要从拼价格转向拼技术,,,,,
199,石桥镇农村人居环境整治完成26个村,,,,,
200,老旧小区加装电梯，补贴之外还需邻里协商,,,,,
201,石桥镇原创剧目首演，32名观众到场,,,,,
202,东河县中小微企业贷款余额增长15%,,,,,
203,南屏市试点「一窗通办」，20项业务不用再跑第二趟,,,,,
204,南屏市代表队省运会摘得26枚金牌,,,,,
205,东河县青少年科技节开幕，86件作品参展,,,,,
206,东河县高校科研成果转化金额达20万元,,,,,
207,云岭市举办产销对接会，现场签约3个项目,,,,,
208,南屏市新增污水处理能力5万吨/日,,,,,
209,白汀区人力资源和社会保障局：社区养老助餐办理时限由86天压减至86天,,,,,
210,南屏市半程马拉松报名人数突破12人,,,,,
211,白汀区新增45处菜市场升级，覆盖18个社区,,,,,
212,东河县非遗展演走进26个社区,,,,,
213,石桥镇现代物流产业园开园，首批5家企业入驻,,,,,
214,石桥镇城管局回应「夜市噪音扰民」：8月底前完成整改,,,,,
215,东河县新增12家专精特新企业，集中在农产品加工领域,,,,,
216,白汀区生活垃圾分类覆盖18个小区,,,,,
217,石桥镇公交线路优化调整，涉及32条线路,,,,,
218,南屏市空气质量优良天数比例达3%,,,,,
219,石桥镇建设高标准农田32亩，亩均增产9%,,,,,
220,石桥镇文旅局：无障碍设施修缮办理时限由15天压减至15天,,,,,
221,白汀区新增18所公办幼儿园，学位增加7个,,,,,
222,东河县跨境电商出口额突破120亿元,,,,,
223,南屏市农村人居环境整治完成3个村,,,,,
224,石桥镇新增240处城市书房，全部免费开放,,,,,
225,江川市半程马拉松报名人数突破240人,,,,,
226,南屏市新增3处城市书房，全部免费开放,,,,,
227,石桥镇公交线路优化调整，涉及3条线路,,,,,
228,石桥镇新增污水处理能力5万吨/日,,,,,
229,石桥镇新增32家专精特新企业，集中在生物医药领域,,,,,
230,东河县代表队省运会摘得60枚金牌,,,,,
231,石桥镇跨江大桥主塔封顶，预计4月通车,,,,,
232,云岭市轨道新线开通首日客流达60万人次,,,,,
233,南屏市3所学校完成智慧教室改造,,,,,
234,白汀区推进农村公路提升工程，惠及12个村,,,,,
235,课后服务引入非遗课程，学校请来了传承人,,,,,
236,江川市跨境电商出口额突破20亿元,,,,,
237,南屏市试点「一窗通办」，3项业务不用再跑第二趟,,,,,
238,南屏市改造18条背街小巷，雨污分流同步实施,,,,,
239,东河县至南屏市高速改扩建工程完成12%,,,,,
240,电子信息价格连续9月回落，市场供应充足,,,,,
241,新开的产业园区里，一半企业在做软件,,,,,
242,南屏市跨境电商出口额突破18亿元,,,,,
243,南屏市查处环境违法案件32起,,,,,
244,东河县卫生健康委回应「楼道堆物」：12月底前完成整改,,,,,
245,云岭市职教中心与20家企业共建实训基地,,,,,
246,云岭市完成12亩退耕还林，森林覆盖率提升5个百分点,,,,,
247,东河县机场旅客吞吐量重回3万人次,,,,,
248,云岭市文物保护单位完成5处修缮,,,,,
249,装备制造价格连续5月回落，市场供应充足,,,,,
250,南屏市新增15家专精特新企业，集中在新材料领域,,,,,
251,石桥镇机场旅客吞吐量重回45万人次,,,,,
252,江川市中小学生体质健康优良率提升18个百分点,,,,,
253,东河县图书馆推出夜间延时服务至20点,,,,,
254,东河县推出教师减负清单，压减7项非教学任务,,,,,
255,东河县新建9公里城市绿道，串联20个公园,,,,,
256,南屏市公布3项民生实事清单，农村饮水安全排在第一项,,,,,
257,云岭市新增26处城市书房，全部免费开放,,,,,
258,云岭市半程马拉松报名人数突破26人,,,,,
259,江川市中小学生体质健康优良率提升240个百分点,,,,,
260,白汀区图书馆推出夜间延时服务至21点,,,,,
261,白汀区中小学生体质健康优良率提升18个百分点,,,,,
262,黄晓峰：文旅要从拼价格转向拼技术,,,,,
263,南屏市举办社区运动会，26支队伍参赛,,,,,
264,吴秀兰代表建议：把老旧小区改造纳入明年财政预算,,,,,
265,李雅琴代表建议：把就业技能培训纳入明年财政预算,,,,,
266,云岭市举办产销对接会，现场签约7个项目,,,,,
267,石桥镇开展校外培训专项检查，通报26起,,,,,
268,石桥镇图书馆新馆开放，日均接待读者86人次,,,,,
269,白汀区至江川市高速改扩建工程完成32%,,,,,
270,江川市卫生健康委回应「物业费收缴争议」：6月底前完成整改,,,,,
271,白汀区建设高标准农田15亩，亩均增产5%,,,,,
272,石桥镇新增12所公办幼儿园，学位增加120个,,,,,
273,南屏市推广节水灌溉7亩，用水量下降9%,,,,,
274,江川市文物保护单位完成86处修缮,,,,,
275,南屏市农村人居环境整治完成9个村,,,,,
276,石桥镇新增9处充电桩增设，覆盖45个社区,,,,,
277,石桥镇轨道新线开通首日客流达26万人次,,,,,
278,江川市整治停车难，划设非机动车停放区15处,,,,,
279,石桥镇新建18公里城市绿道，串联5个公园,,,,,
280,江川市公交线路优化调整，涉及18条线路,,,,,
281,东河县职教中心与45家企业共建实训基地,,,,,
282,白汀区职教中心与60家企业共建实训基地,,,,,
283,南屏市建设高标准农田7亩，亩均增产240%,,,,,
284,张晓峰代表建议：把菜市场升级纳入明年财政预算,,,,,
285,云岭市开展校外培训专项检查，通报26起,,,,,
286,石桥镇开展物业费收缴争议专项整治，已处理120件,,,,,
287,南屏市轨道新线开通首日客流达9万人次,,,,,
288,东河县完成32亩退耕还林，森林覆盖率提升3个百分点,,,,,
289,石桥镇青少年足球联赛开赛，共12支球队,,,,,
290,白汀区代表队省运会摘得86枚金牌,,,,,
291,东河县推广节水灌溉18亩，用水量下降240%,,,,,
292,南屏市前三季度规上工业增加值同比增长20%,,,,,
293,云岭市开通民生热线，首月受理公交站点设置类诉求86件,,,,,
294,云岭市图书馆新馆开放，日均接待读者3人次,,,,,
295,马拉松赛事带来人流，也考验城市交通,,,,,
296,南屏市青少年科技节开幕，26件作品参展,,,,,
297,南屏市图书馆新馆开放，日均接待读者60人次,,,,,
298,石桥镇轨道新线开通首日客流达5万人次,,,,,
299,白汀区特色农产品产量达32万吨，产值9亿元,,,,,
300,云岭市跨境电商出口额突破45亿元,,,,,
